Question,Part,Marks,Options,Correct Answer,Trade,Paper Type
URL stands for _________,A,1,"[""Uniform Resource Locator"",""Universal Resource Link"",""Uniform Reference Link"",""Universal Reference Locator""]",Uniform Resource Locator,OCC,PRIMARY
The IP address __________ is reserved and used for trouble shooting,A,1,"[""127.0.0.1"",""192.168.1.1"",""10.0.0.1"",""172.16.0.1""]",127.0.0.1,OCC,PRIMARY
A _______ is a device that provides a central connection point for cables from workstations,A,1,"[""Switch"",""Router"",""Hub"",""Modem""]",Switch,OCC,PRIMARY
DGMO stands for ______________,A,1,"[""Director General Military Operation"",""Deputy General Military Officer"",""Director General Military Officer"",""Deputy General Military Operation""]",Director General Military Operation,OCC,PRIMARY
The size of host bits in Class B IP address is ______,A,1,"[""16 bits"",""8 bits"",""24 bits"",""32 bits""]",16 bits,OCC,PRIMARY
In MS Word default file name is ___________,A,1,"[""Document1"",""New Document"",""Untitled"",""Word Document""]",Document1,OCC,PRIMARY
Footers are printed in the __________ of a document,A,1,"[""Bottom"",""Top"",""Left"",""Right""]",Bottom,OCC,PRIMARY
Explain the basic working principle of ASIGMA messaging system,C,2,,ASIGMA is a secure web-based messaging application that uses PKI encryption for secure communication between army units.,OCC,PRIMARY
What are the main components of a computer network?,C,2,,Main components include: nodes, transmission media, network interface cards, switches/routers, and network protocols.,OCC,PRIMARY
Define IP address and its classes,C,2,,IP address is a unique identifier for devices on a network. Classes: Class A (1-126), Class B (128-191), Class C (192-223).,OCC,PRIMARY
The standard port number for HTTP is ______,D,1,,80,OCC,PRIMARY
TCP stands for ______,D,1,,Transmission Control Protocol,OCC,PRIMARY
The maximum length of UTP cable is ______ meters,D,1,,100,OCC,PRIMARY
OSI model has ______ layers,D,1,,7,OCC,PRIMARY
Default subnet mask for Class C network is ______,D,1,,255.255.255.0,OCC,PRIMARY
FTP uses port number ______,D,1,,21,OCC,PRIMARY
SMTP stands for ______,D,1,,Simple Mail Transfer Protocol,OCC,PRIMARY
The speed of Fast Ethernet is ______ Mbps,D,1,,100,OCC,PRIMARY
MAC address is ______ bits long,D,1,,48,OCC,PRIMARY
DHCP stands for ______,D,1,,Dynamic Host Configuration Protocol,OCC,PRIMARY
Explain the seven layers of OSI model with their functions,E,5,,OSI Model Layers: 1) Physical - handles bits transmission, 2) Data Link - frame formatting, 3) Network - routing, 4) Transport - reliable data transfer, 5) Session - connection management, 6) Presentation - data encryption, 7) Application - user interface.,OCC,PRIMARY
